"Story","Title","Result","Date","Stability","Duration (s)"
"Validar endpoint de albumes","consultar albumes correctmante con <nombreEscenario>","SUCCESS","2021-04-04T23:22:57.273-05:00[America/Bogota]","0.0","2.24"
"Validar endpoint de albumes","validar el esquema con <nombreEscenario>","SUCCESS","2021-04-04T23:22:59.521-05:00[America/Bogota]","0.0","2.3"
"Validar endpoint de albumes","valdiar response para <nombreEscenario>","SUCCESS","2021-04-04T23:23:01.825-05:00[America/Bogota]","0.0","2.26"
"Validar endpoint de albumes","Validar token incorrecto","SUCCESS","2021-04-04T23:23:04.089-05:00[America/Bogota]","0.0","0.43"
"Validar endpoint de albumes comprados","consultar albumes comprados correctmante","SUCCESS","2021-04-04T23:23:17.798-05:00[America/Bogota]","0.0","2.4"
"Validar endpoint de albumes comprados","validar el esquema con <nombreEscenario>","SUCCESS","2021-04-04T23:23:20.2-05:00[America/Bogota]","0.0","2.4"
"Validar endpoint de albumes comprados","validar response","SUCCESS","2021-04-04T23:23:22.603-05:00[America/Bogota]","0.0","2.4"
"Validar endpoint de albumes comprados","Validar token incorrecto","SUCCESS","2021-04-04T23:23:25.003-05:00[America/Bogota]","0.0","0.44"
"Validar endpoint de compra de albumes","realizar compra de un album","SUCCESS","2021-04-04T23:23:12.392-05:00[America/Bogota]","0.0","2.25"
"Validar endpoint de compra de albumes","realizar compra de un album que no existe","SUCCESS","2021-04-04T23:23:14.645-05:00[America/Bogota]","0.0","2.25"
"Validar endpoint de compra de albumes","Validar token incorrecto","SUCCESS","2021-04-04T23:23:16.895-05:00[America/Bogota]","0.0","0.44"
"Validar endpoint de invalidar sesion","Validar token incorrecto","SUCCESS","2021-04-04T23:23:27.895-05:00[America/Bogota]","0.0","0.45"
"Validar endpoint de fotos por almbum","consultar fotos de los correctmante con <nombreEscenario>","SUCCESS","2021-04-04T23:23:05.001-05:00[America/Bogota]","0.0","2.19"
"Validar endpoint de fotos por almbum","validar el esquema de la respuesta del servicio","SUCCESS","2021-04-04T23:23:09.343-05:00[America/Bogota]","0.0","2.15"
"Validar endpoint de fotos por almbum","Validar token incorrecto","SUCCESS","2021-04-04T23:23:11.494-05:00[America/Bogota]","0.0","0.42"
"Validar endpoint de listado de usuarios","consultar lista de usuarios como <nombreEscenario> correctmante","SUCCESS","2021-04-04T23:22:24.598-05:00[America/Bogota]","0.0","2.29"
"Validar endpoint de listado de usuarios","validar response y paginacon  como <nombreEscenario>","SUCCESS","2021-04-04T23:22:28.95-05:00[America/Bogota]","0.0","27.29"
"Validar endpoint de listado de usuarios","Validar token incorrecto","SUCCESS","2021-04-04T23:22:56.246-05:00[America/Bogota]","0.0","0.44"
"Validar endpoint del login","Consumir login como <nombreEscenario> correctmante","SUCCESS","2021-04-04T23:22:20.24-05:00[America/Bogota]","0.0","1.18"
"Validar endpoint del login","Validar header response de <nombreEscenario>","SUCCESS","2021-04-04T23:22:21.435-05:00[America/Bogota]","0.0","1.19"
"Validar endpoint del login","validar esquema response <nombreEscenario>","SUCCESS","2021-04-04T23:22:22.624-05:00[America/Bogota]","0.0","1.47"
"Validar endpoint del login","usuario no existe","SUCCESS","2021-04-04T23:22:24.095-05:00[America/Bogota]","0.0","0.46"
"Validar endpoint de registros","Crear usuario exitoso","SUCCESS","2021-04-04T23:22:12.561-05:00[America/Bogota]","0.0","2.96"
"Validar endpoint de registros","Valadacion <nombreEscenario>","SUCCESS","2021-04-04T23:22:16.207-05:00[America/Bogota]","0.0","2.86"
