"Story","Title","Result","Date","Stability","Duration (s)"
"Validar endpoint de albumes","valdiar squema de error","FAILURE","2021-04-04T23:23:04.521-05:00[America/Bogota]","0.0","0.44"
"Validar endpoint de albumes comprados","valdiar squema de error","FAILURE","2021-04-04T23:23:25.442-05:00[America/Bogota]","0.0","0.44"
"Validar endpoint de compra de albumes","valdiar squema de error","FAILURE","2021-04-04T23:23:17.335-05:00[America/Bogota]","0.0","0.43"
"Validar endpoint de invalidar sesion","invalidar otros usuarios como <nombreEscenario>","FAILURE","2021-04-04T23:23:25.916-05:00[America/Bogota]","0.0","1.98"
"Validar endpoint de invalidar sesion","valdiar squema de error","FAILURE","2021-04-04T23:23:28.345-05:00[America/Bogota]","0.0","0.46"
"Validar endpoint de fotos por almbum","consultar fotos de un album que no existe con <nombreEscenario>","FAILURE","2021-04-04T23:23:07.191-05:00[America/Bogota]","0.0","2.15"
"Validar endpoint de fotos por almbum","valdiar squema de error","FAILURE","2021-04-04T23:23:11.913-05:00[America/Bogota]","0.0","0.43"
"Validar endpoint de listado de usuarios","validar el esquema de la respuesta del servicio","FAILURE","2021-04-04T23:22:26.886-05:00[America/Bogota]","0.0","2.05"
"Validar endpoint de listado de usuarios","valdiar squema de error","FAILURE","2021-04-04T23:22:56.684-05:00[America/Bogota]","0.0","0.44"
"Validar endpoint de registros","Validar ingreso de valores numericos","FAILURE","2021-04-04T23:22:15.532-05:00[America/Bogota]","0.0","0.61"
